node1	node2	weight
F535	F1000	1
F538	F1000	2
F570	F1000	3
F571	F1000	4
F572	F1000	5
F578	F1000	6
F583	F1000	7
F589	F1000	8
F765	F1000	9
F766	F1000	10
F769	F1000	11
F788	F1000	12
F790	F1000	13
F828	F1000	14
F829	F1000	15
F833	F1000	16
F836	F1000	17
F881	F1000	18
F960	F1000	19
F961	F1000	20
F963	F1000	21
M1001	F1000	22
M521	F1000	23
M539	F1000	24
M575	F1000	25
M591	F1000	26
M597	F1000	27
M690	F1000	28
M767	F1000	29
M791	F1000	30
M793	F1000	31
M794	F1000	32
M838	F1000	33
M923	F1000	34
M964	F1000	35
M980	F1000	36
M984	F1000	37
F1003	F1002	38
F1005	F1002	39
F1006	F1002	40
F514	F1002	41
F517	F1002	42
F532	F1002	43
F534	F1002	44
F535	F1002	45
F536	F1002	46
F538	F1002	47
F540	F1002	48
F567	F1002	49
F570	F1002	50
F571	F1002	51
F572	F1002	52
F576	F1002	53
F577	F1002	54
F578	F1002	55
F583	F1002	56
F585	F1002	57
F589	F1002	58
F599	F1002	59
F765	F1002	60
F788	F1002	61
F789	F1002	62
F790	F1002	63
F829	F1002	64
F836	F1002	65
F960	F1002	66
F961	F1002	67
M513	F1002	68
M521	F1002	69
M533	F1002	70
M537	F1002	71
M539	F1002	72
M541	F1002	73
M543	F1002	74
M568	F1002	75
M573	F1002	76
M574	F1002	77
M575	F1002	78
M579	F1002	79
M580	F1002	80
M581	F1002	81
M582	F1002	82
M584	F1002	83
M591	F1002	84
M593	F1002	85
M597	F1002	86
M598	F1002	87
M763	F1002	88
M791	F1002	89
M792	F1002	90
M793	F1002	91
M795	F1002	92
M796	F1002	93
M797	F1002	94
M798	F1002	95
M838	F1002	96
M842	F1002	97
M979	F1002	98
M998	F1002	99
F1002	F1003	38
F1005	F1003	100
F1006	F1003	101
F514	F1003	102
F517	F1003	103
F532	F1003	104
F534	F1003	105
F535	F1003	106
F536	F1003	107
F538	F1003	108
F540	F1003	109
F567	F1003	110
F570	F1003	111
F571	F1003	112
F572	F1003	113
F576	F1003	114
F577	F1003	115
F578	F1003	116
F583	F1003	117
F585	F1003	118
F589	F1003	119
F599	F1003	120
F765	F1003	121
F788	F1003	122
F789	F1003	123
F790	F1003	124
F829	F1003	125
F836	F1003	126
F960	F1003	127
F961	F1003	128
M513	F1003	129
M521	F1003	130
M533	F1003	131
M537	F1003	132
M539	F1003	133
M541	F1003	134
M543	F1003	135
M568	F1003	136
M573	F1003	137
M574	F1003	138
M575	F1003	139
M579	F1003	140
M580	F1003	141
M581	F1003	142
M582	F1003	143
M584	F1003	144
M591	F1003	145
M593	F1003	146
M597	F1003	147
M598	F1003	148
M763	F1003	149
M791	F1003	150
M792	F1003	151
M793	F1003	152
M795	F1003	153
M796	F1003	154
M797	F1003	155
M798	F1003	156
M838	F1003	157
M842	F1003	158
M979	F1003	159
M998	F1003	160
F518	F1004	161
F570	F1004	162
F572	F1004	163
F577	F1004	164
F578	F1004	165
F583	F1004	166
F585	F1004	167
F589	F1004	168
F599	F1004	169
F765	F1004	170
F766	F1004	171
F788	F1004	172
F836	F1004	173
F837	F1004	174
F881	F1004	175
F933	F1004	176
F960	F1004	177
F961	F1004	178
F963	F1004	179
M521	F1004	180
M541	F1004	181
M574	F1004	182
M580	F1004	183
M582	F1004	184
M584	F1004	185
M586	F1004	186
M591	F1004	187
M598	F1004	188
M695	F1004	189
M761	F1004	190
M763	F1004	191
M771	F1004	192
M791	F1004	193
M792	F1004	194
M793	F1004	195
M794	F1004	196
M797	F1004	197
M799	F1004	198
M838	F1004	199
M842	F1004	200
M964	F1004	201
M979	F1004	202
M980	F1004	203
M984	F1004	204
F1002	F1005	39
F1003	F1005	100
F1006	F1005	205
F514	F1005	206
F517	F1005	207
F532	F1005	208
F534	F1005	209
F535	F1005	210
F536	F1005	211
F538	F1005	212
F540	F1005	213
F567	F1005	214
F570	F1005	215
F571	F1005	216
F572	F1005	217
F576	F1005	218
F577	F1005	219
F578	F1005	220
F583	F1005	221
F585	F1005	222
F589	F1005	223
F599	F1005	224
F765	F1005	225
F788	F1005	226
F789	F1005	227
F790	F1005	228
F829	F1005	229
F836	F1005	230
F960	F1005	231
F961	F1005	232
M513	F1005	233
M521	F1005	234
M533	F1005	235
M537	F1005	236
M539	F1005	237
M541	F1005	238
M543	F1005	239
M568	F1005	240
M573	F1005	241
M574	F1005	242
M575	F1005	243
M579	F1005	244
M580	F1005	245
M581	F1005	246
M582	F1005	247
M584	F1005	248
M591	F1005	249
M593	F1005	250
M597	F1005	251
M598	F1005	252
M763	F1005	253
M791	F1005	254
M792	F1005	255
M793	F1005	256
M795	F1005	257
M796	F1005	258
M797	F1005	259
M798	F1005	260
M838	F1005	261
M842	F1005	262
M979	F1005	263
M998	F1005	264
F1002	F1006	40
F1003	F1006	101
F1005	F1006	205
F514	F1006	265
F517	F1006	266
F532	F1006	267
F534	F1006	268
F535	F1006	269
F536	F1006	270
F538	F1006	271
F540	F1006	272
F567	F1006	273
F570	F1006	274
F571	F1006	275
F572	F1006	276
F576	F1006	277
F577	F1006	278
F578	F1006	279
F583	F1006	280
F585	F1006	281
F589	F1006	282
F599	F1006	283
F765	F1006	284
F788	F1006	285
F789	F1006	286
F790	F1006	287
F829	F1006	288
F836	F1006	289
F960	F1006	290
F961	F1006	291
M513	F1006	292
M521	F1006	293
M533	F1006	294
M537	F1006	295
M539	F1006	296
M541	F1006	297
M543	F1006	298
M568	F1006	299
M573	F1006	300
M574	F1006	301
M575	F1006	302
M579	F1006	303
M580	F1006	304
M581	F1006	305
M582	F1006	306
M584	F1006	307
M591	F1006	308
M593	F1006	309
M597	F1006	310
M598	F1006	311
M763	F1006	312
M791	F1006	313
M792	F1006	314
M793	F1006	315
M795	F1006	316
M796	F1006	317
M797	F1006	318
M798	F1006	319
M838	F1006	320
M842	F1006	321
M979	F1006	322
M998	F1006	323
F535	F1007	324
F538	F1007	325
F570	F1007	326
F571	F1007	327
F572	F1007	328
F577	F1007	329
F578	F1007	330
F583	F1007	331
F589	F1007	332
F599	F1007	333
F765	F1007	334
F766	F1007	335
F788	F1007	336
F790	F1007	337
F829	F1007	338
F836	F1007	339
F837	F1007	340
F881	F1007	341
F933	F1007	342
F960	F1007	343
F961	F1007	344
F962	F1007	345
F963	F1007	346
F971	F1007	347
F978	F1007	348
F992	F1007	349
M515	F1007	350
M539	F1007	351
M568	F1007	352
M574	F1007	353
M580	F1007	354
M582	F1007	355
M584	F1007	356
M591	F1007	357
M763	F1007	358
M764	F1007	359
M791	F1007	360
M792	F1007	361
M793	F1007	362
M799	F1007	363
M838	F1007	364
M842	F1007	365
M923	F1007	366
M924	F1007	367
M934	F1007	368
M935	F1007	369
M964	F1007	370
M968	F1007	371
M979	F1007	372
M984	F1007	373
M985	F1007	374
M998	F1007	375
F514	F512	376
F516	F512	377
F517	F512	378
F518	F512	379
F519	F512	380
F522	F512	460
F524	F512	413
F526	F512	461
F527	F512	381
F529	F512	462
F532	F512	382
F534	F512	383
F535	F512	414
F536	F512	463
F538	F512	415
F540	F512	416
F542	F512	384
F544	F512	417
F567	F512	418
F570	F512	385
F571	F512	386
F572	F512	387
F576	F512	464
F577	F512	388
F588	F512	419
F5880	F512	420
F589	F512	465
F592	F512	421
F596	F512	422
F599	F512	389
F621	F512	423
F622	F512	466
F624	F512	467
F627	F512	424
F628	F512	468
F630	F512	469
F694	F512	470
F759	F512	471
F760	F512	472
F762	F512	425
F769	F512	426
F773	F512	427
F789	F512	428
F802	F512	473
F805	F512	429
F806	F512	430
F832	F512	474
F833	F512	475
F834	F512	476
F835	F512	431
F837	F512	432
F839	F512	477
F879	F512	478
F880	F512	479
F922	F512	433
F926	F512	434
F929	F512	480
F930	F512	481
F932	F512	435
F960	F512	436
F963	F512	482
F966	F512	483
F967	F512	437
F971	F512	484
F994	F512	485
F995	F512	438
F996	F512	439
F999	F512	440
M1009	F512	441
M513	F512	390
M515	F512	391
M520	F512	392
M521	F512	393
M523	F512	486
M525	F512	487
M528	F512	394
M530	F512	488
M539	F512	395
M541	F512	512
M543	F512	489
M566	F512	442
M568	F512	443
M569	F512	444
M573	F512	490
M575	F512	491
M579	F512	445
M581	F512	492
M586	F512	446
M590	F512	493
M594	F512	447
M595	F512	448
M598	F512	396
M623	F512	494
M629	F512	495
M631	F512	449
M649	F512	397
M688	F512	496
M689	F512	398
M692	F512	399
M693	F512	497
M764	F512	450
M768	F512	498
M770	F512	451
M771	F512	400
M772	F512	499
M793	F512	452
M796	F512	401
M799	F512	402
M800	F512	403
M801	F512	500
M803	F512	501
M804	F512	502
M830	F512	453
M831	F512	503
M841	F512	504
M877	F512	454
M917	F512	505
M918	F512	506
M920	F512	455
M921	F512	507
M923	F512	404
M924	F512	405
M925	F512	406
M927	F512	407
M928	F512	456
M931	F512	508
M934	F512	457
M965	F512	509
M968	F512	408
M969	F512	510
M982	F512	511
M985	F512	409
M989	F512	410
M990	F512	411
M991	F512	412
M993	F512	458
M997	F512	459
F1002	F514	41
F1003	F514	102
F1005	F514	206
F1006	F514	265
F512	F514	376
F516	F514	513
F517	F514	514
F518	F514	515
F519	F514	516
F522	F514	634
F524	F514	605
F526	F514	635
F527	F514	540
F529	F514	636
F532	F514	541
F534	F514	542
F535	F514	565
F536	F514	566
F538	F514	517
F540	F514	518
F542	F514	519
F544	F514	520
F567	F514	521
F570	F514	543
F571	F514	544
F572	F514	545
F576	F514	567
F577	F514	546
F578	F514	568
F583	F514	569
F585	F514	570
F588	F514	606
F5880	F514	607
F589	F514	571
F592	F514	608
F596	F514	522
F599	F514	523
F621	F514	524
F622	F514	637
F624	F514	638
F627	F514	525
F628	F514	639
F630	F514	640
F694	F514	641
F759	F514	642
F760	F514	643
F762	F514	609
F765	F514	572
F769	F514	610
F773	F514	611
F788	F514	573
F789	F514	574
F790	F514	575
F802	F514	644
F805	F514	612
F806	F514	613
F829	F514	576
F832	F514	645
F833	F514	646
F834	F514	647
F835	F514	526
F836	F514	577
F837	F514	614
F839	F514	648
F879	F514	649
F880	F514	650
F922	F514	615
F926	F514	616
F929	F514	651
F930	F514	652
F932	F514	617
F960	F514	578
F961	F514	579
F963	F514	653
F966	F514	654
F967	F514	618
F971	F514	655
F994	F514	656
F995	F514	619
F996	F514	620
F999	F514	621
M1009	F514	622
M513	F514	527
M515	F514	547
M520	F514	528
M521	F514	529
M523	F514	657
M525	F514	658
M528	F514	548
M530	F514	530
M533	F514	580
M537	F514	581
M539	F514	549
M541	F514	582
M543	F514	531
M566	F514	532
M568	F514	533
M569	F514	534
M573	F514	583
M574	F514	584
M575	F514	585
M579	F514	586
M580	F514	587
M581	F514	588
M582	F514	589
M584	F514	590
M586	F514	623
M590	F514	659
M591	F514	591
M593	F514	592
M594	F514	624
M595	F514	625
M597	F514	593
M598	F514	535
M600	F514	536
M623	F514	660
M629	F514	661
M631	F514	626
M649	F514	550
