ID	Class	Age	Sex
F1000	bat	A	F
F1002	bat	J	F
F1003	bat	A	F
F1004	bat	J	F
F1005	bat	A	F
F1006	bat	A	F
F1007	bat	J	F
F512	bat	A	F
F514	bat	A	F
F516	bat	A	F
F517	bat	A	F
F518	bat	A	F
F519	bat	A	F
F522	bat	A	F
F524	bat	A	F
F526	bat	A	F
F527	bat	A	F
F529	bat	A	F
F532	bat	A	F
F534	bat	A	F
F535	bat	A	F
F536	bat	A	F
F538	bat	A	F
F540	bat	A	F
F542	bat	A	F
F544	bat	A	F
F567	bat	A	F
F570	bat	A	F
F571	bat	A	F
F572	bat	A	F
F576	bat	A	F
F577	bat	A	F
F578	bat	A	F
F583	bat	A	F
F585	bat	A	F
F588	bat	A	F
F5880	bat	J	F
F589	bat	A	F
F592	bat	A	F
F596	bat	A	F
F599	bat	A	F
F621	bat	A	F
F622	bat	A	F
F624	bat	A	F
F627	bat	A	F
F628	bat	A	F
F630	bat	A	F
F694	bat	A	F
F759	bat	A	F
F760	bat	A	F
F762	bat	A	F
F765	bat	A	F
F766	bat	A	F
F769	bat	A	F
F773	bat	A	F
F788	bat	A	F
F789	bat	A	F
F790	bat	A	F
F802	bat	A	F
F805	bat	A	F
F806	bat	A	F
F828	bat	A	F
F829	bat	A	F
F832	bat	A	F
F833	bat	A	F
F834	bat	A	F
F835	bat	A	F
F836	bat	A	F
F837	bat	A	F
F839	bat	A	F
F879	bat	A	F
F880	bat	A	F
F881	bat	J	F
F922	bat	A	F
F926	bat	J	F
F929	bat	J	F
F930	bat	A	F
F932	bat	A	F
F933	bat	J	F
F960	bat	A	F
F961	bat	A	F
F962	bat	A	F
F963	bat	J	F
F966	bat	J	F
F967	bat	J	F
F971	bat	J	F
F978	bat	J	F
F981	bat	A	F
F992	bat	J	F
F994	bat	J	F
F995	bat	J	F
F996	bat	J	F
F999	bat	J	F
M1001	bat	J	M
M1009	bat	J	M
M513	bat	A	M
M515	bat	A	M
M520	bat	A	M
M521	bat	A	M
M523	bat	A	M
M525	bat	A	M
M528	bat	A	M
M530	bat	A	M
M533	bat	A	M
M537	bat	A	M
M539	bat	A	M
M541	bat	A	M
M543	bat	A	M
M566	bat	A	M
M568	bat	A	M
M569	bat	A	M
M573	bat	A	M
M574	bat	A	M
M575	bat	A	M
M579	bat	A	M
M580	bat	A	M
M581	bat	A	M
M582	bat	A	M
M584	bat	A	M
M586	bat	A	M
M590	bat	J	M
M591	bat	A	M
M593	bat	A	M
M594	bat	A	M
M595	bat	A	M
M597	bat	A	M
M598	bat	A	M
M600	bat	A	M
M623	bat	A	M
M629	bat	A	M
M631	bat	A	M
M649	bat	A	M
M688	bat	A	M
M689	bat	A	M
M690	bat	A	M
M692	bat	A	M
M693	bat	A	M
M695	bat	A	M
M731	bat	A	M
M761	bat	A	M
M763	bat	J	M
M764	bat	A	M
M767	bat	J	M
M768	bat	J	M
M770	bat	J	M
M771	bat	A	M
M772	bat	A	M
M791	bat	A	M
M792	bat	A	M
M793	bat	A	M
M794	bat	A	M
M795	bat	A	M
M796	bat	A	M
M797	bat	A	M
M798	bat	A	M
M799	bat	A	M
M800	bat	A	M
M801	bat	A	M
M803	bat	A	M
M804	bat	A	M
M830	bat	A	M
M831	bat	A	M
M838	bat	A	M
M841	bat	A	M
M842	bat	A	M
M877	bat	A	M
M917	bat	A	M
M918	bat	A	M
M920	bat	A	M
M921	bat	A	M
M923	bat	A	M
M924	bat	A	M
M925	bat	A	M
M927	bat	J	M
M928	bat	J	M
M931	bat	A	M
M934	bat	A	M
M935	bat	A	M
M964	bat	A	M
M965	bat	A	M
M968	bat	A	M
M969	bat	J	M
M979	bat	J	M
M980	bat	J	M
M982	bat	J	M
M983	bat	A	M
M984	bat	J	M
M985	bat	A	M
M989	bat	A	M
M990	bat	A	M
M991	bat	J	M
M993	bat	A	M
M997	bat	J	M
M998	bat	J	M
